,sentence,class
2940,"Стоило двери закрыться за ними, как вновь раздался низкий рокочущий гул и стены снова начали быстро вращаться, однако теперь на фоне тусклых синих полос появилась широкая, яркая красно-золотая.",original
2817,"После обеда выяснилось, что Гарри зря так отчаянно боялся практического экзамена: когда рядом не было Снегга, он чувствовал себя перед котлом гораздо свободнее.",original
4945,"Гарри взглянул на Гермиону, и вопрос, который он собирался задать - о том, не помешает ли миссис Кроткотт отсутствие палочки трансгрессировать вместе с мужем, - замер на его губах.",original
2166,"В прошлом году ты был единственным, кто мог полностью осуществить заклятие Империус, мог вызвать Патронуса и сделать то, чего не могут взрослые волшебники.",original
355,"Мистер Фламель, в прошлом году отметивший свой шестьсот шестьдесят пятый день рождения, наслаждается тишиной и уединением в Девоне вместе со своей женой Пернеллой (шестисот пятидесяти восьми лет»).",original
3763,"И я поневоле чувствую, что, осознав это, вы могли бы счесть… э-э… едва ли не своим долгом сотрудничество с Министерством, оказание ему всевозможной поддержки.",original
4392,"Толпа уже почти рассеялась, последние из скорбящих, уходя, по широкой дуге огибали монументального Грохха, по-прежнему обнимавшего Хагрида, горестные стенания которого разносились эхом над озерной водой.",original
1022,После краткого визита в палатку к девушкам - она оказалась немного меньше и без кошачьей вони - Гарри и Рон с Гермионой отправились через весь лагерь с чайником и ведерками.,original
3100,"Нагнувшись, он отодвинул защелку и достал изнутри неглубокую каменную чашу с высеченными по краям рунами - ту самую, в которой Гарри видел, как его отец издевался над Снеггом.",original
645,"- Дневник Реддла замолк навсегда - поди-ка теперь докажи, что это он своей магической властью заставлял ее совершать то страшное, что творилось в замке!»",original
4522,"- Да тут он, - хрипло сообщил Хагрид и, сцапав Наземникуса за загривок, оторвал его от пола и поставил рядом с Флер, которая демонстративно сморщила носик и сменила место, встав между Фредом и Джорджем.",original
2401,"- Сказать: «Извините, господа, Дамблдор предупреждал меня, что это может случиться - стража Азкабана переметнулась к лорду Волан-де-Морту (перестань ойкать, Рон)… а теперь на свободе и самые опасные его союзники»?",original
5149,"Очень, очень немногие волшебники в них верят, чему подтверждением - тот твердолобый юноша на свадьбе вашего брата, - он поклонился Рону, - который набросился на меня, приняв этот знак за символ известного темного волшебника.",original
5066,"Он уже умел стоять, ухватившись за прутья кроватки, и с веселым любопытством смотрел в лицо чужаку - может быть, думал, что это его отец прячется под плащом и сейчас покажет еще красивые огоньки, а мама со смехом выглянет откуданибудь изза шкафа…",original
2962,"Какой-то Пожиратель смерти метнулся к ним сквозь облако пыли, и Гарри сильно ударил его локтем в закрытое маской лицо; вокруг раздавались крики боли, кто-то визжал, полки с грохотом обрушивались друг на друга, и в этот шум вплетались обрывки речей провидцев, выпущенных на волю из своих шариков…",original
4729,"- Экспульсо! - взревел Пожиратель, и стол, за которым стоял Гарри, бросило взрывом на стену, а сам Гарри почувствовал, как из его руки вылетает палочка и мантияневидимка соскальзывает с него.",original
1575,"С помощью моего верного Пожирателя смерти добиться, чтобы Гарри Поттер выиграл этот Турнир и первым коснулся Кубка, который мой слуга превратил в портал.",original
569,"По дороге им не встретилось ни одной живой души, и только в холле рослый волшебник с громадной копной рыжеватых волос и такой же бородой окликнул Реддла с мраморной лестницы:",original
375,"Когда наконец из замка донесся звонок, они побросали совки и лопатки, которыми ковырялись в земле, выскочили из оранжереи и поспешно бросились к опушке леса.",original
5417,"Гарри все еще стоял на коленях возле Снегга, просто глядя на него, как вдруг совсем рядом зазвучал высокий холодный голос, Гарри вскочил на ноги, крепко сжимая в руках флакон, уверенный, что это Волан-де-Морт вернулся в хижину.",original
1866,"Гарри улыбнулся, представив себе, что сказала бы Гермиона, если бы увидела статую эльфа, и вытряс в фонтан все содержимое мешочка, где было побольше, чем десять галеонов.",original
2370,"Он стал озираться - чем бы отвлечь друзей, чтобы Невилл вышел незамеченным, чтобы к нему не пристали с расспросами, но Рон тоже оглянулся, услышав фамилию Долгопупс, и, прежде чем Гарри успел остановить его, крикнул: «Невилл!»",original
653,"Гермиона встретила его с восторженным криком: «Ты победил, Гарри!», Джастин выскочил из-за стола, долго тряс его руку, бесконечно извиняясь за свои подозрения, а в половине четвертого внезапно появился Хагрид и с таким жаром хлопнул Гарри и Рона по плечам, что те ткнулись носом в тарелки.",original
1907,"Когда Полумна читала его перевернутым, трудно было разобрать, что изображено на обложке, но теперь Гарри понял: там красовалась не слишком умело выполненная карикатура на Корнелиуса Фаджа.",original
827,"А поскольку эти малосимпатичные существа для своего благоденствия нуждались лишь в том, чтобы их не трогали, то экзамен получился самый легкий из всех, а Гарри, Рон и Гермиона наконец-то получили долгожданную возможность переговорить с Хагридом.",original
3113,"В кратком заявлении, сделанном в пятницу вечером, министр магии Корнелиус Фадж подтвердил, что Тот-Кого-Нелъзя-Называть вернулся в нашу страну и вновь принялся за старое.",original
2277,"Зрелище он представлял собою неутешительное: ушибы, лиловые в субботу вечером, окрасились в зеленые и желтые тона, некоторые раны по-прежнему кровоточили.",original
3714,"Кашляя и отплевываясь, весь обрызганный медовухой, он вдруг увидел такое, отчего настроение у него стало еще лучше: Аргус Филч за ухо тащил к ним Драко Малфоя.",original
5207,"Гарри уже приготовился огрызнуться, когда они станут приставать к нему с вопросами, почему он не создал отличную аккуратную могилу с помощью волшебной палочки, но огрызаться не понадобилось.",original
2988,"Теперь Гарри и Невилл остались вдвоем против пятерых нападающих - двое из них выпускали из палочек стрелы серебряного света, которые летели мимо и разбивали штукатурку на стене за спинами ребят.",original
1332,"За обедом разговор продолжился - безуспешно пытались выведать у Хагрида задание, гадали, кто из претендентов будет выбран и всё ли еще Фред с Джорджем бородаты.",original
3032,"В тот же миг Дамблдор сделал палочкой длинный, плавный жест - и змея, чуть было не вонзившая в него клыки, взлетела в воздух и растаяла струйкой черного дыма, а вода в фонтане поднялась и объяла Волан-де-Морта, словно заключив его в кокон из расплавленного стекла.",original
2910,"Грохх, у которого текла по лицу кровь, вслепую водил в воздухе руками, пытаясь схватить хоть одного из кентавров, но те уже пустились в беспорядочное бегство и пропадали из виду среди деревьев по ту сторону поляны.",original
1716,"Ощущение бессилия из-за отсутствия новостей, боль из-за того, что друзья вместе, а он отдельно, ярость, которую он испытал, узнав, что за ним следили без его ведома…",original
2187,"Он ожидал, что Букля протянет ему лапу с письмом, а потом улетит в совятник, но, как только окно приоткрылось, она печально ухнула и прыгнула на подоконник.",original
5308,"Он метнулся туда, и не успела Полумна набросить мантию на них обоих, как дверь распахнулась и в гостиную устремилась толпа перепуганных когтевранцев в пижамах.",original
584,"Мадам Помфри склонилась над девушкой с пятого курса - той самой ученицей из Когтеврана, у которой они с Роном под Рождество так неудачно пытались выяснить дорогу в гостиную Слизерина.",original
4990,"Дни тянулись, обращаясь в недели, и Гарри начал подозревать, что Рон и Гермиона ведут за его спиной разговоры - о нем. Несколько раз они резко умолкали при его появлении в палатке, а дважды он, завидев их издалека стоящими голова к голове, подходил к ним, и в обоих случаях, стоило ему приблизиться, разговор немедленно прерывался, и они тут же делали вид, будто собирают хворост или набирают про запас воду.",original
5201,"Рука Добби дернулась в его руке, Гарри подумал, что домовик пытается направить их к нужному месту, и чутьчуть сжал его пальцы, давая понять, что готов следовать за ним…",original
1401,"После бала он еще ни разу не заговаривал о Викторе Краме, а на второй день каникул Гарри нашел у него под кроватью крохотную ручку, оторванную, судя по цвету одежды, от фигурки ловца сборной Болгарии.",original
4375,"Гарри ласково кивнул Хагриду, когда тот проходил мимо, возвращаясь назад, но глаза лесничего опухли настолько, что оставалось лишь удивляться, как он вообще что-нибудь видит перед собой.",original
2005,"Толкование сновидений - важнейший способ заглянуть в будущее, и вполне вероятно, что наше владение этим разделом ясновидения будет проверено на экзаменах по СОВ.",original
1338,"И Гарри решительно двинулся к выходу, толкнул портрет, выбрался на площадку и нос к носу столкнулся с Гермионой, державшей в руке многоэтажный бутерброд, завернутый в салфетку.",original
3786,"Никакого раскаяния в нем заметно не было, но ведь существовала вероятность, что он сожалеет о своем прежнем поведении и надумал начать жизнь заново, с чистого листа.",original
3108,"Таким образом, он не мог предупредить хозяина, что задуманное им нападение связано с риском передать тебе часть своей силы и отметить тебя как равного себе.",original
2211,"«Сии травы наипаче способны к воспалению ума и посему употребляемы для Смутительных и Дурманных Настоев, ежели волхв пожелал наградить кого Горячностью и Опрометчивостью…»",original
5242,"Гермиона вытащила изпод мантии волшебную палочку Беллатрисы и коснулась ничем не примечательного с виду кирпича в стене, огораживающей задний двор таверны.",original
4562,"Она могла бы прибегнуть к магии, но вместо этого торопливо пошла в покосившийся дом сама, и Гарри понял: миссис Уизли не хочет, чтобы ктото видел ее лицо.",original
1799,"Пока он был занят, ему было хорошо; но когда делать становилось нечего, когда его оборона давала слабину, когда он, обессиленный, лежал в постели и смотрел, как по потолку движутся расплывчатые тени, к нему возвращалась мысль о надвигающемся слушании в Министерстве.",original
2656,"Сегодня Гарри предстояло еще и другое испытание: он должен был очутиться в непосредственной близости от Снегга впервые после того, как Снегг выгнал его из своего кабинета.",original
458,"- Два лондонца уверяют, что видели, как над башней почты пролетел старенький фордик… в полдень в Норфолке миссис Хетти Бейлисс, развешивая во дворе белье…",original
1876,"Подарком будет сама возможность покинуть этот пыльный затхлый дом, где половину шкафов и буфетов еще даже не отпирали, где из темных углов в тебя частенько летят хриплые оскорбления Кикимера.",original
262,"За завтраком Гарри рассказывал Рону о том свертке, который Хагрид забрал из «Гринготтса» по поручению Дамблдора и который, судя по всему, находится в запретном коридоре третьего этажа.",original
2584,"Амбридж явно постаралась привлечь Филча на свою сторону, подумал Гарри; беда в том, что он и впрямь может оказаться для нее ценным помощником, поскольку в том, что касается знания тайных ходов и закоулков Хогвартса, Филч уступает разве что близнецам Уизли.",original
3286,"- Кикимер принадлежит мисс Беллатрисе, о да, Кикимер принадлежит Блэкам, Кикимер хочет к новой хозяйке, Кикимер не будет служить этому щенку Поттеру, не будет, не будет, не будет!",original
2193,"Глаза у Трелони за толстыми очками были полны слез, и, когда она стремительно вернулась к своему креслу с высокой спинкой, он наклонился к Рону и прошептал:",original
542,"Под руководством Дамблдора собравшиеся исполнили его любимые рождественские гимны, громче всех ревел Хагрид, голос его креп после каждого бокала яичного коктейля.",original
1728,"- Но почему здесь висит портрет твоей матери? - озадаченно спросил Гарри, когда они, чуть опередив остальных, вышли из коридора на узкую каменную лестницу и стали спускаться по ней на кухню.",original
4646,"До конца этого дня Джинни больше не пыталась встретиться с Гарри наедине и не давала понять - ни словом, ни жестом, - что у них случился в ее комнате не просто учтивый разговор.",original
2577,"Везде, куда бы ни пошел Гарри, только и говорили что об этом побеге, и хотя некоторые его детали в ходе пересказывания слегка изменились (Гарри слышал, как одна второкурсница уверяла другую, будто Фадж сейчас лежит в больнице святого Мунго с тыквой вместо головы), можно было лишь удивляться тому, с какой достоверностью передавались основные факты.",original
1741,"Все время, пока она поднималась по лестнице, были слышны ее негодующие жалобы, а когда она двинулась по коридору, к ним добавились душераздирающие вопли миссис Блэк.",original
5369,"Кровь загудела у него в ушах, сердце дрогнуло: вот он, справа - потрепанный старинный буфет, в который он спрятал когдато свой старый учебник по зельеварению.",original
4089,"При всех выпавших тебе испытаниях, при всех страданиях сердце твое осталось чистым, таким же, каким было в одиннадцать лет, когда ты взглянул в зеркало, отразившее твои сокровеннейшие желания, и оно показало, что стремишься ты не к бессмертию, не к богатству, но лишь к тому, чтобы преградить путь лорду Волан-де-Морту.",original
3241,"Видишь ли, в том маловероятном случае, если Драко добьется успеха, я смогу немного дольше оставаться в Хогвартсе, занимаясь своей полезной разведывательной деятельностью.",original
5266,Гермиона протянула Гарри пузырек с лекарством и достала из сумочки три бутылки тыквенного сока и чистую сухую одежду - все это она захватила из коттеджа «Ракушка».,original
3758,"До недавнего времени, как было известно Гарри, он возглавлял Управление мракоборцев; человек крутой, видавший виды, Скримджер нисколько не походил на дородного Фаджа с его котелком.",original
1170,"Отец говорит, что в Дурмстранге подход к Темным Искусствам куда более разумный, чем в Хогвартсе - студенты их там действительно изучают, а не занимаются всей этой чепухой по защите, как мы…",original
2169,"Они прошли по Главной улице мимо магазина волшебных шуток «Зонко», увидев там, естественно, Фреда и Джорджа с Ли Джорданом, мимо почты, откуда через правильные интервалы вылетали совы, и завернули в переулок, в конце которого стоял трактирчик.",original
5527,"Дайлис Дервент громко всхлипывала, Декстер Фортескью приветственно размахивал слуховой трубкой, а Финеас Найджелус взывал своим тонким высоким голосом:",original
2020,"- Мистер-Поттер-вы-уже-отобрали-у-вашего-факультета-десять-очков-невредите-тепер-самому-себе, - произнесла профессор Амбридж единым духом, не глядя на него.",original
4598,"- Ну да, зачем говорить обществу правду? - сказал Гарри и с такой силой сжал в ладони нож, что на ней отчетливо выступили белые шрамы, слагавшиеся в слова: «Я не должен лгать».",original
4415,"Огромная змея, раздраженная этим шумом, открыла пасть и сердито зашипела, однако Пожиратели смерти ее не услышали - до того обрадовало их унижение, которому подверглись Беллатриса и Малфои.",original
2152,"- Очевидно, получила - в противном случае спросила бы вас, что вы делаете на моем уроке, - сказала профессор МакГонагалл и решительно повернулась спиной к профессору Амбридж.",original
4788,"А его хозяйка сходила с ума от горя, потому что хозяин Регулус пропал, а Кикимер не мог рассказать ей, что случилось, нет, потому что хозяин Регулус вевевелел ему не говорить никому в сесемье о том, что было в пепещере…",original
3509,"Она нетерпеливо кивнула, не отрывая взгляда от своего зелья - оно все еще было густо-лиловым, хотя, если верить книжке, должно было уже стать светло-сиреневым.",original
4780,"Это высокая честь, сказал хозяин Регулус, честь для него и для Кикимера, который должен сделать все, что прикажет ему Темный Лорд, а потом вевернуться домой.",original
3271,"- Гарри подумал, что это слишком сильно сказано, ведь Дамблдор всего лишь прислал однажды тете Петунье взрывающееся письмо, но тетя Петунья не стала спорить.",original
2965,"Они побежали, стараясь не шуметь, мимо сверкающего сосуда, где птичка все так же вылуплялась из крохотного яйца и снова возвращалась в него, к двери в круглую комнату.",original
1796,"Люпин, который жил в доме Сириуса, но надолго покидал его ради каких-то таинственных дел Ордена, помог им привести в порядок стоячие часы, имевшие неприятную привычку выстреливать в проходящих увесистыми деталями механизма.",original
1133,"Подходя к тому месту, где были сложены порталы, они издалека услышали хор нетерпеливых голосов - вокруг диспетчера Бэзила столпилось великое множество колдуний и волшебников, и все шумно требовали отправить их из лагеря как можно скорее.",original
4174,"Тяжело дыша, точно в самый разгар драки, Гарри отвернулся от так и не шевельнувшего ни одним мускулом Дамблдора и принялся расхаживать по кабинету, потирая одной ладонью костяшки другой и прилагая все силы, какие у него остались, чтобы удержаться и не посбивать на пол то, что попадалось ему на глаза.",original
